n,c1,c2
1,0.0,0.0
2,2.849445509349957,17.72647847759936
3,82.8882854632187,104.59331484697309
4,151.14218739592266,277.38751859193866
5,322.27651966584125,345.04263617302774
6,389.05240029661314,516.1772054051747
7,564.9986878445833,593.6893524105907
8,632.0194223488949,773.8110711872982
9,803.5944654648265,843.8953931073594
10,872.9258908513705,1016.6426848651271
11,1050.509628288796,1092.8652313352434
12,1120.0979756839665,1271.2755190042988
13,1291.0058745230217,1340.8600436293534
14,1358.932297185169,1512.8163035550303
15,1531.2605382327038,1581.0055921842447
16,1598.9592668896908,1752.0917823233374
17,1769.1557960144073,1818.6879321170532
18,1836.543866292488,1989.6434797018264
19,2010.7027613604896,2061.633042162225
20,2083.260872151852,2239.4914300838
21,2263.7457892063794,2317.0277398245144
22,2337.5428120812853,2501.414352412892
23,2516.1261604717974,2573.820680204157
24,2584.471732205252,2747.013979073997
25,2758.0023081169397,2822.9812499758805
26,2827.269045748658,3000.7610888488866
27,3004.5383595395474,3075.3336326300505
28,3083.647189250846,3258.174121897765
29,3263.012159283446,3327.389061174713
30,3336.4979340132118,3501.8608078441453
31,3513.3319300869016,3568.5487048453397
32,3581.603150046666,3738.7868134420787
33,3756.9425007684617,3815.6344483582016
34,3826.2099031696393,3996.755663386948
35,4000.382283454949,4067.6819960516523
36,4073.094444995452,4241.38194124586
37,4247.98534420163,4312.452482301987
38,4322.577462064562,4489.600693263621
39,4500.76160625706,4557.405629086328
40,4570.115438039456,4728.803590678464
41,4742.105921135859,4796.866374223216
42,4808.860530424496,4968.976287423027
43,4981.327368242093,5041.57565539282
44,5055.603054684562,5219.826372115032
45,5233.53249972984,5288.454074587736
46,5303.308777110447,5460.545344494838
47,5476.176160068897,5530.612674017984
48,5543.670827989166,5703.15124934936
49,5717.748115149717,5777.543440063742
